machine_id,timestamp,temperature,vibration,pressure,rpm,motor_current
1,2026-08-15 13:49:51.902523,63.42,2.44,5.26,3563.16,12.52
1,2026-08-15 13:50:51.902523,65.19,2.18,4.85,3527.52,11.76
1,2026-08-15 13:51:51.902523,63.85,2.11,5.45,3429.62,12.27
1,2026-08-15 13:52:51.902523,62.58,1.83,4.98,3484.11,12.01
1,2026-08-15 13:53:51.902523,65.43,2.6,5.28,3579.46,13.45
1,2026-08-15 13:54:51.902523,65.02,2.07,5.39,3392.52,11.97
1,2026-08-15 13:55:51.902523,63.97,2.97,5.46,3531.48,13.51
1,2026-08-15 13:56:51.902523,65.82,2.63,5.72,3426.7,12.73
1,2026-08-15 13:57:51.902523,63.87,3.12,5.51,3405.87,12.73
1,2026-08-15 13:58:51.902523,64.84,3.38,5.06,3459.43,13.25
1,2026-08-15 13:59:51.902523,63.67,3.08,5.64,3485.32,11.74
1,2026-08-15 14:00:51.902523,66.05,2.61,5.06,3466.63,12.08
1,2026-08-15 14:01:51.902523,65.97,2.69,5.42,3544.17,13.75
1,2026-08-15 14:02:51.902523,65.82,3.26,5.46,3515.55,12.34
1,2026-08-15 14:03:51.902523,65.21,2.71,5.11,3542.8,12.53
1,2026-08-15 14:04:51.902523,64.4,2.64,5.35,3542.41,12.1
1,2026-08-15 14:05:51.902523,64.37,3.1,5.13,3578.75,14.01
1,2026-08-15 14:06:51.902523,64.87,3.4,5.13,3620.0,13.62
1,2026-08-15 14:07:51.902523,65.82,2.96,4.73,3583.36,13.04
1,2026-08-15 14:08:51.902523,66.5,3.22,6.2,3506.23,13.04
1,2026-08-15 14:09:51.902523,66.06,3.43,5.62,3427.18,13.62
1,2026-08-15 14:10:51.902523,66.79,3.45,5.07,3505.54,12.2
1,2026-08-15 14:11:51.902523,64.09,3.58,5.26,3519.52,13.73
1,2026-08-15 14:12:51.902523,64.93,2.79,5.58,3508.94,13.7
1,2026-08-15 14:13:51.902523,64.6,3.23,5.78,3491.13,12.52
1,2026-08-15 14:14:51.902523,66.57,3.48,5.13,3479.36,12.2
1,2026-08-15 14:15:51.902523,64.19,3.24,5.64,3590.99,12.16
1,2026-08-15 14:16:51.902523,66.37,3.2,5.47,3531.14,13.27
1,2026-08-15 14:17:51.902523,65.34,3.52,5.4,3447.46,12.48
1,2026-08-15 14:18:51.902523,67.54,4.14,5.08,3545.15,12.81
1,2026-08-15 14:19:51.902523,64.5,3.6,5.38,3468.33,12.27
1,2026-08-15 14:20:51.902523,65.25,3.54,5.78,3402.57,13.7
1,2026-08-15 14:21:51.902523,67.23,3.74,6.12,3474.33,14.13
1,2026-08-15 14:22:51.902523,67.14,4.16,5.72,3505.56,13.18
1,2026-08-15 14:23:51.902523,65.3,3.66,5.08,3345.66,12.61
